harness_name,wire_type,sequence,x,y,description
ENGINE_HARNESS,POWER,1,2,2,Battery positive (+12V main)
ENGINE_HARNESS,POWER,2,2,7,Battery negative (chassis GND)
ENGINE_HARNESS,POWER,3,7,2,Ignition positive
ENGINE_HARNESS,POWER,4,7,7,Starter motor feed
ENGINE_HARNESS,POWER,5,12,2,Alternator output
ENGINE_HARNESS,POWER,6,12,7,Fuel pump feed
ENGINE_HARNESS,INJECTORS,1,25,10,Injector 1 signal
ENGINE_HARNESS,INJECTORS,2,30,10,Injector 2 signal
ENGINE_HARNESS,INJECTORS,3,35,10,Injector 3 signal
ENGINE_HARNESS,INJECTORS,4,40,10,Injector 4 signal
ENGINE_HARNESS,INJECTORS,5,25,15,Injector 1 ground
ENGINE_HARNESS,INJECTORS,6,30,15,Injector 2 ground
ENGINE_HARNESS,INJECTORS,7,35,15,Injector 3 ground
ENGINE_HARNESS,INJECTORS,8,40,15,Injector 4 ground
ENGINE_HARNESS,SENSORS,1,50,30,Crankshaft position signal
ENGINE_HARNESS,SENSORS,2,55,30,Crankshaft position ground
ENGINE_HARNESS,SENSORS,3,50,35,Camshaft position signal
ENGINE_HARNESS,SENSORS,4,55,35,Camshaft position ground
ENGINE_HARNESS,SENSORS,5,50,40,MAP sensor signal
ENGINE_HARNESS,SENSORS,6,55,40,MAP sensor ground
ENGINE_HARNESS,SENSORS,7,50,45,MAF sensor signal
ENGINE_HARNESS,SENSORS,8,55,45,MAF sensor ground
ENGINE_HARNESS,SENSORS,9,50,50,Coolant temp signal
ENGINE_HARNESS,SENSORS,10,55,50,Coolant temp ground
ENGINE_HARNESS,SENSORS,11,50,55,O2 sensor signal
ENGINE_HARNESS,SENSORS,12,55,55,O2 sensor heater
ENGINE_HARNESS,COILS,1,20,50,Coil 1 signal
ENGINE_HARNESS,COILS,2,25,50,Coil 2 signal
ENGINE_HARNESS,COILS,3,30,50,Coil 3 signal
ENGINE_HARNESS,COILS,4,35,50,Coil 4 signal
ENGINE_HARNESS,GROUND,1,60,60,ECU ground
ENGINE_HARNESS,GROUND,2,60,55,Sensor ground bus
ENGINE_HARNESS,GROUND,3,60,50,Power ground bus
